ext_gene,weight,group
Rps19,4.533272,weak
Rpl21,1.580247,weak
Cd63,1.571132,weak
Rpl29,1.478944,weak
Rps23,1.38227,weak
Hsp90ab1,1.097764,weak
Gm8730,1.018539,weak
Rpl14,0.9571208,weak
Rps5,0.8954605,weak
Rps17,0.8346054,weak
Mest,0.6003973,weak
Des,0.5271606,weak
Cox4i1,0.4204118,weak
Crip2,0.3544489,weak
Acta2,0.3372422,weak
C1qtnf3,0.3307748,strong
Rpl18a,0.2873314,weak
Eif4a1,0.246876,weak
Cdh15,0.2467536,strong
Rpl10-ps3,0.239485,weak
Cd82,0.2336389,weak
Chodl,0.2172734,strong
Myf5,0.2125294,strong
Ppia,0.2100563,weak
Capn6,0.2080414,strong
Myl12a,0.2066748,weak
Six1,0.1976266,strong
Dcx,0.188388,strong
Vgll2,0.185606,strong
Tnfrsf12a,0.18478,weak
Sox11,0.1599721,strong
Chrna1,0.1357439,strong
Rpl31,0.1344581,weak
Ntn5,0.1332874,niche
Myog,0.1267797,strong
Hmga2,0.1221955,niche
Jsrp1,0.1202572,strong
Gal,0.1105418,strong
Gm16833,0.1067296,niche
Stbd1,0.1031143,strong
Erdr1,0.09896051,weak
Rpl22l1,0.09799285,weak
Tceb1,0.09741886,weak
Sdc4,0.09731353,weak
Myod1,0.08800123,strong
Maff,0.08522135,weak
2010111I01Rik,0.083494669999999993,weak
mt-Co1,0.08304232,weak
Pitx3,0.0707906,strong
Rpl41,0.0702788,weak
Fgfr4,0.06968412,strong
Dag1,0.06687141,weak
Rpl35,0.06040697,weak
Gm12603,0.05572815,niche
Rps18,0.04934935,weak
Egr4,0.04903733,niche
Foxp2,0.04779576,niche
Chst3,0.04451068,niche
Rpl37,0.04056891,weak
Iqsec3,0.03974669,strong
Neb,0.03707929,strong
Hs6st2,0.03059692,strong
Mmp25,0.027548,niche
Ankrd1,0.02733394,strong
Ppp1r14b,0.02510506,weak
Rpl23a-ps3,0.02312825,weak
Pebp1,0.0219242,weak
Hmgb3,0.01968866,strong
St3gal5,0.01780179,strong
Rapsn,0.01651536,strong
Pde4d,0.01635342,strong
Smarcd3,0.01515533,strong
Sds,0.01340201,niche
Popdc3,0.01263529,strong
Sec1,0.01036907,niche
Chrnb1,0.009784952,strong
Wnt7b,0.009679179,niche
Fam83d,0.006920653,niche
Hmgn2,0.005070507,weak
Edn3,0.001786135,niche
Calcr,9.134263e-4,niche
Tnnt1,7.442173e-4,strong
Col1a1,-0.001472796,weak
Pcdhga7,-0.002717905,niche
Gm26669,-0.01400525,strong
Ccnd2,-0.01432698,weak
Ksr2,-0.01741938,niche
Scn5a,-0.02165104,niche
Tshr,-0.03200695,niche
Chrdl2,-0.03641641,niche
Thy1,-0.04815555,weak
Oaf,-0.06110684,weak
Igfbp7,-0.06302761,weak
Greb1,-0.06847519,niche
Ifitm2,-0.2034892,weak
Calm1,-0.2270515,weak
Fbln2,-0.3280255,weak
Gnai2,-0.3319763,weak
Cst3,-0.3627299,weak
Col6a2,-0.4051751,weak
Myl6,-0.5210289,weak
Rps7,-0.549536,weak
Cxcl12,-0.6055689,weak
Mfap5,-0.6069181,weak
Arpc1b,-0.6156092,weak
Serf2,-0.7233972,weak
Sepw1,-0.788214,weak
Rpl34,-1.913402,weak
